FBin        FFTr             FFTi             SpectraPower
1AD       0000017E         FFFFFE1B         000000000005D0DD
1AE       FFFFFFBC         00000035         0000000000001D09
1AF       FFFFFFD1         FFFFFFF3         000000000000094A
1B0       000000B3         FFFFFFA4         0000000000009E39
1B1       FFFFFFDF         FFFFFF36         000000000000A3A5
1B2       00000087         00000014         00000000000048C1
1B3       00000018         00000165         000000000001F419
1B4       FFFFFF41         FFFFFF25         00000000000149DA
1B5       00000123         FFFFFF77         000000000001941A
1B6       000000B6         FFFFFFEF         0000000000008285
1B7       FFFFFDC6         FFFFFFA7         0000000000051415
1B8       000001E2         00000095         000000000003E23D
1B9       FFFFFF62         00000000         0000000000006184
1BA       FFFFFF5D         FFFFFFE4         0000000000006AD9
1BB       FFFFFF09         FFFFFFCD         000000000000F87A
1BC       000001AE         00000021         000000000002D685
1BD       FFFFFEF9         FFFFFFA9         0000000000012BC2
1BE       0000000A         FFFFFF81         0000000000003F65
1BF       FFFFFFC0         0000015C         000000000001E910
1C0       000000D8         FFFFFEB4         00000000000264D0
1C1       00000018         0000011A         00000000000138E4
1C2       FFFFFF15         FFFFFF72         000000000001267D
1C3       0000013D         FFFFFFAA         000000000001A56D
1C4       FFFFFF8B         FFFFFFB1         0000000000004DDA
1C5       FFFFFF8C         000000E8         00000000000106D0
1C6       0000007F         FFFFFFA9         0000000000005C92
1C7       0000007A         FFFFFF44         000000000000C434
1C8       FFFFFF5E         000001F7         00000000000442D5
1C9       00000156         FFFFFE88         000000000003F124
1CA       FFFFFF60         FFFFFF25         0000000000011F59
1CB       0000008E         00000281         00000000000693C5
1CC       FFFFFF79         FFFFFF61         000000000000A9F2
1CD       FFFFFF6A         FFFFFF1E         0000000000011F68
1CE       00000193         00000221         00000000000702AA
1CF       FFFFFF1C         FFFFFEC0         0000000000025B10
1D0       000001BF         FFFFFFFF         0000000000030C82
1D1       FFFFFEF8         000000C5         000000000001A7D9
1D2       FFFFFF90         FFFFFE73         00000000000298A9
1D3       0000012E         000000E3         0000000000022D8D
1D4       FFFFFF89         FFFFFFAC         00000000000052E1
1D5       FFFFFE96         00000098         0000000000025A24
1D6       000001DB         FFFFFE3B         00000000000692F2
1D7       FFFFFFAA         00000250         00000000000575E4
1D8       FFFFFFFA         FFFFFEFF         0000000000010225
1D9       FFFFFF8F         FFFFFECD         000000000001A20A
1DA       00000101         00000025         000000000001075A
1DB       FFFFFE0F         000000E7         0000000000049552
1DC       000001DB         FFFFFE76         000000000005CFBD
