FBin        FFTr             FFTi             SpectraPower
154       FFFFFF05         FFFFFE45         000000000003F4B2
155       00000044         000001C2         0000000000032914
156       FFFFFEF3         FFFFFE6E         00000000000391ED
157       00000121         0000014C         000000000002F4D1
158       FFFFFF1E         FFFFFE85         000000000002F89D
159       00000011         0000015F         000000000001E262
15A       00000012         FFFFFFAF         0000000000001AE5
15B       FFFFFFA4         FFFFFE52         000000000002F354
15C       FFFFFEFE         0000022C         000000000005BB94
15D       FFFFFFC6         FFFFFE17         000000000003B335
15E       0000012A         00000140         000000000002EAE4
15F       FFFFFF62         00000040         0000000000007184
160       FFFFFF86         FFFFFE62         000000000002D7A8
161       FFFFFF93         0000008E         0000000000007D2D
162       000000FD         00000108         0000000000020A49
163       FFFFFE3A         FFFFFED7         0000000000047DB5
164       000000E7         FFFFFF65         0000000000012E4A
165       000000BF         000000EB         000000000001663A
166       00000017         00000012         0000000000000355
167       FFFFFE76         FFFFFF52         000000000002D4A8
168       FFFFFF3D         000000AC         0000000000010819
169       FFFFFF48         FFFFFF6D         000000000000D8A9
16A       000000D4         00000092         00000000000102D4
16B       FFFFFF99         FFFFFE8B         00000000000248EA
16C       FFFFFF1C         000001E8         0000000000046D50
16D       000002BA         FFFFFEFC         0000000000087734
16E       FFFFFE85         00000087         000000000002784A
16F       00000019         FFFFFF62         00000000000063F5
170       FFFFFF0D         00000040         000000000000F6A9
171       00000167         FFFFFFDA         000000000001FD15
172       FFFFFF1C         00000084         0000000000010F20
173       0000012C         FFFFFF9F         0000000000018451
174       FFFFFF58         000000F4         00000000000156D0
175       FFFFFF08         FFFFFE6E         0000000000036784
176       FFFFFFB6         000000E6         000000000000E408
177       FFFFFF54         FFFFFF4C         000000000000F220
178       0000006D         0000019B         000000000002C242
179       0000002E         FFFFFD66         000000000006CCE8
17A       FFFFFFB3         00000219         0000000000047D9A
17B       FFFFFEDB         FFFFFF2F         000000000001F9FA
17C       000000B2         000000A8         000000000000EA04
17D       FFFFFF5E         FFFFFEF1         0000000000018565
17E       00000095         FFFFFFD5         0000000000005DF2
17F       FFFFFF03         00000190         0000000000036B09
180       00000079         FFFFFFC0         0000000000004931
181       FFFFFDC2         0000003D         000000000005158D
182       00000159         FFFFFE73         000000000004389A
183       00000095         00000113         0000000000017E22
184       FFFFFE96         FFFFFFFB         000000000001FFFD
185       FFFFFFA3         FFFFFF51         000000000000996A
186       00000106         000000CB         000000000001AD1D
187       FFFFFE98         FFFFFF79         0000000000024171
188       FFFFFFCC         0000000F         0000000000000B71
189       0000022F         00000051         000000000004DE42
18A       FFFFFE89         0000005F         0000000000024892
18B       000000DD         FFFFFEB8         0000000000026309
18C       FFFFFF62         000001FF         0000000000045D85
18D       FFFFFE9F         FFFFFE4D         000000000004C9EA
18E       000001B2         FFFFFFDF         000000000002E405
18F       FFFFFF1D         00000085         0000000000010E62
190       FFFFFFD1         FFFFFFDF         0000000000000CE2
191       FFFFFF39         00000125         000000000001EA0A
192       000000C6         FFFFFEEE         000000000001BE68
193       FFFFFFFF         0000003D         0000000000000E8A
194       00000080         FFFFFFF2         00000000000040C4
195       FFFFFFDB         0000005D         0000000000002722
196       FFFFFF95         FFFFFFCE         000000000000367D
197       00000126         FFFFFFAB         0000000000016DDD
198       FFFFFF5E         FFFFFFC8         00000000000072C4
199       FFFFFFC7         00000123         000000000001577A
19A       000000D3         FFFFFE81         000000000002EAEA
19B       FFFFFF52         000000D5         000000000001277D
19C       FFFFFFE6         000000A2         0000000000006928
19D       000000D4         FFFFFFA5         000000000000CFE9
19E       FFFFFE4F         FFFFFEA6         000000000004B005
19F       0000004E         00000198         000000000002A204
1A0       00000013         FFFFFEAB         000000000001C7A2
1A1       00000128         00000152         0000000000031484
1A2       0000001F         FFFFFF68         0000000000005E01
1A3       00000112         FFFFFFC7         00000000000131F5
1A4       FFFFFFBE         000000DC         000000000000CE14
1A5       FFFFFFA2         FFFFFE83         000000000002598D
1A6       00000088         000001AA         0000000000030D24
1A7       FFFFFDE8         FFFFFEA1         0000000000064381
1A8       000000FC         0000011A         0000000000022EB4
1A9       FFFFFF27         FFFFFFEE         000000000000B935
1AA       FFFFFFEF         FFFFFFBE         0000000000001225
1AB       00000173         FFFFFF87         00000000000252DA
1AC       FFFFFDD0         000000B0         0000000000054200
1AD       00000084         FFFFFFDE         0000000000004894
1AE       FFFFFF6B         FFFFFFEA         000000000000589D
1AF       0000016A         00000065         00000000000227BD
1B0       FFFFFD46         FFFFFE3B         00000000000A90BD
1B1       000001B5         0000025A         000000000008719D
1B2       FFFFFED9         FFFFFE1D         000000000004E33A
1B3       FFFFFF9E         00000097         0000000000007E95
1B4       FFFFFFA2         000000C3         000000000000B70D
1B5       000000FE         FFFFFE64         0000000000039314
1B6       0000006A         0000017A         0000000000025A08
1B7       FFFFFE87         FFFFFECD         0000000000039B5A
1B8       0000002D         0000010A         0000000000011C4D
1B9       00000061         FFFFFEFE         00000000000128C5
1BA       00000082         000000DC         000000000000FF14
1BB       000000FF         FFFFFFD0         0000000000010701
1BC       FFFFFEEF         FFFFFFF1         0000000000012402
1BD       00000032         00000077         0000000000004115
1BE       00000098         FFFFFEC4         000000000001E050
1BF       FFFFFF3E         00000020         0000000000009704
1C0       000000C0         00000093         000000000000E469
1C1       FFFFFF40         FFFFFF48         0000000000011440
1C2       FFFFFFAB         00000026         00000000000021DD
1C3       00000070         00000197         000000000002B811
1C4       FFFFFED5         FFFFFE3A         000000000004825D
1C5       0000012E         0000013E         000000000002EF48
1C6       00000045         FFFFFE3C         00000000000330A9
1C7       FFFFFE4A         000001E0         0000000000067164
1C8       000000AD         FFFFFED2         000000000001D92D
1C9       FFFFFF8B         FFFFFFE5         0000000000003852
1CA       000000E1         00000155         0000000000028BFA
1CB       FFFFFE99         FFFFFDEA         0000000000065155
1CC       FFFFFFF7         000001A0         000000000002A451
1CD       00000028         0000005C         0000000000002750
1CE       FFFFFF8C         FFFFFF3C         000000000000CAA0
1CF       000000A3         FFFFFFCC         0000000000007259
1D0       FFFFFEAA         000000D7         0000000000027D75
1D1       FFFFFF96         FFFFFF45         000000000000B47D
1D2       000001BC         00000074         00000000000336A0
1D3       FFFFFEA2         FFFFFFA2         0000000000020108
1D4       00000017         000000DA         000000000000BBB5
1D5       FFFFFF34         FFFFFE89         000000000002C7E1
1D6       00000230         00000116         000000000005F6E4
1D7       FFFFFE5B         FFFFFFB0         000000000002CD59
1D8       FFFFFFE0         FFFFFF51         0000000000007BA1
1D9       000000BC         0000009A         000000000000E6B4
1DA       FFFFFF56         FFFFFFB0         00000000000089E4
1DB       00000073         FFFFFFCD         0000000000003DD2
1DC       00000079         000000A4         000000000000A241
1DD       0000001F         0000005A         0000000000002365
1DE       FFFFFFDA         FFFFFEDD         000000000001506D
1DF       FFFFFE21         FFFFFFF3         00000000000380EA
1E0       00000144         000001E8         0000000000053C50
1E1       FFFFFF58         FFFFFE7D         000000000002B749
1E2       FFFFFF88         FFFFFF85         0000000000007359
1E3       0000009A         0000004F         0000000000007505
1E4       FFFFFF5B         FFFFFFDE         0000000000006EDD
1E5       FFFFFFEE         0000001B         000000000000041D
1E6       000000A0         FFFFFFCF         0000000000006D61
1E7       0000005E         000000CD         000000000000C6AD
1E8       FFFFFEC0         FFFFFFC6         0000000000019D24
1E9       00000072         00000011         00000000000033E5
